text,label
আমার জীবনের সবথেকে ফালতু একটা নাটক এইটা,0.0
সাধারণ মানুষ টিভি চ্যানেল গুলো ছুড়ে ফেলে দিয়ে ইউটিউবে নাটক দেখে কারণ  টিভি চ্যানেল গুলোর বিরক্তিকর এ্যাডগুলোর জন্য এখন এখানেও সেই ভাইরাস  রোগ ঢুকে গেছে এই কম্পিটিশন এর যুগে ইউটিউব কতৃপক্ষ যদি বিজ্ঞাপন দেয়ার বিষয়ে আরও সচেতন এবং সুদূরপ্রসারী চিন্তা ভাবনা না করেন এক সময় আপনারাও কালের গর্ভে হারিয়ে যাবেন,0.0
স্টুডেন্ট ওরে একটা থাপ্পড় মারো,0.0
নাটকটিতে কথা থেকে মিউজিকের সাউন্ডটা বেশি হয়ে গেছেযে কারনে কথাগুলো অনেক সময় ক্লিয়ার শোনা যায় না,0.0
পাকনা মেয়াটা একটা বাজে,0.0
ধূস পুরো ফালতু স্টোরি খুব দুর্বল,0.0
কথার চেয়ে মিউজিকের আওয়াজ বেশি,0.0
আমি আফরান নিশোর  অনেক বড় ফ্যান কিন্তু ইদানিং সে অনেক বাজে নাটক করছে তার উচিৎ দেখে শুনে কাজ করা,0.0
নাটকের শেষাংশে সনাতনি কায়দা অবলম্বন করা হয়েছে যা আমার কাছে ভালো লাগে নাই চাই নতুনত্ব,0.0
শেষ টা ভাল লাগলো না,0.0
স্টুডেন্ট মেয়েটা নাটকটাকে বিরক্তিকর  বানিয়েছে,0.0
স্টুডেন্ট টারে ইচ্ছে করে কসায় একটা টাপ্পর মারি,0.0
এই স্টুডেন্ট এর ক্যারেক্টার টা পুরা নাটকের কমপ্লেক্সান টা নষ্ট করে দিসে,0.0
ফালতু একটা নাটক দেখে এত সময় নষ্ট করলাম,0.0
নাটকের মধ্যে কবে জানি দেখব নাইকা গলায় ওড়না পেঁচিয়ে মারা গেছে কারণ তারা তো ওড়না সব সময় গলায় পেঁচিয়ে রাখে তাই আতংকে থাকি,0.0
বাজে হইছে,0.0
মেহজারিন এর বাল পাক নামি ভালা লাগেনা,0.0
বাজে মেহজাবিনের অভিনয়,0.0
ভাল লাগলো না,0.0
সাউয়ার নাটকনিজের কোন মুল্যই রাখলো না নিশু   এত অপমানের পরেও ভালোবাসি বলল আর পটে গেল  এটা কোন নাটকের কাতারেই পড়ে না,0.0
সাইন্সের মেয়েরা আসলেই একটু অহংকারী ও দাম্বিক হয়মজা পাইলাম রোবট লামিয়া,0.0
ওই ছাত্রীর ন্যাকামি একেবারে অসহ্য,0.0
মেহজাবিন এর ছাত্রী এটা এই ছাগীটাকে প্রায় নাটকেই নেয় কেন এই পরিচালক এই আবাল ছেরি কি পরিচালকের কিছু হয় নাটকই দেখব না আর এই পরিচালকের ধুর,0.0
সায়েন্স এর ছেলেমেয়ে মানেই এভাবে রসকষহীন না,0.0
মাইয়া টা খালি কান্দে,0.0
ছাত্রী টা কে যতবার দেখলাম ঘুষি মারতে ইচ্ছে হইছেইন্টারের মেয়ের এতো ন্যাকামি বিরক্তিকর,0.0
ছাত্রীর অভিনয় টা ফালতু অতিরিক্ত নেকামি করছে,0.0
ভালো লাগলো নানাটকটা,0.0
বস মোটা হয়ে যাচ্চ তাই আগের মত ভালো লাগতেছে না,0.0
লাস্ট এর সিনারিটা টোটালি বিরক্তিকর হইসেএইভাবে লাভ টা হবে এক্সপেক্ট করি নাই,0.0
শেষ দিয়ে ভালো হলো না,0.0
মেয়েরা এরকমই হয় সে ম্যাথ বুঝাতে পারেনি আর ছেলেটি বুঝাতে পেরেছিল  এটাতে মেয়েটি এপ্রিসিয়েট না করে উলটা হিংসা করা শুরু করে দিয়েছে,0.0
এই নাটকের শব্দ কই সবাই এত অস্থির হয়ে এত কমেন্ট করলো কি দেখে বুঝলাম না,0.0
ছাত্রী হিসেবে এই বান্দর ছ্যামড়ির ন্যাকামি দেইখা প্রথমেই নাটক দেখার আগ্রহ হারিয়ে ফেললাম সরি,0.0
নট বেডপ্রায় নাটকে ইংলিশ গান কেন বাংলা গানে কি ঠাডা পড়ছে,0.0
ওড়না ব্যবহার করলে কি খতি হত খারাপ হয়ে যাচছে বাংলাদেশর নাটকপরিচালক সাহেব আপনি কি ফ্যামিলি  নিয়ে এ নাটক দেখেন,0.0
২ জন মাস্টার ছাত্রীর বাড়িতে জগরা বিষয় টা বাজে লাগলো,0.0
ছাত্র পড়ানো কঠিন প্যারা,0.0
বাংলাদেশ কি শুধু আর্টস আর সাইন্স এর দ্বারা চলে বাট আমরা যারা কমার্স নিয়া পরি তারা কি অসহায়হায়,0.0
কেরু কে ছেড়ে দেওsorryহুইছকি কে ছেড়ে দেও অস্থির যারা বুঝেন নাই মুড়ি খান,0.0
ছাত্রীটার ঢং করে কথা বলাটা ভাল লাগেনি,0.0
ফালতু একটা নাম নাটকের,0.0
সাইন্স এর ইংরেজি বানানটাই ভুল,0.0
আর্স বলে কখোনো তুচ্ছ ভাবা উচিত নয়,0.0
অহংকার দেখিয়ে কাওকেই অবহেলা করা ঠিক না,0.0
সাইন্স বানান ভুল,0.0
মেহেজাবিন এর এক্সটা কেয়ার করাটা একটু ভালো লাগলো না,0.0
ছাত্রী মেয়েটার ন্যাকামিটা খুবেই বাজে হইছে,0.0
বুকের উপর ওড়নাটা দিতে কি বেশি সমস্যা,0.0
সবনম পাদিয়ার ভাব দেখলে মিজাস টা খারাপ হয় ফালতু যতসব,0.0
পোলা খোর কখন আসবো,0.0
বালের নাটক সময়ডাই নষ্ট করলাম,0.0
বাজে নাটক,0.0
ফালতু একটা নাটক,0.0
বাজে নাটক,0.0
এইটা ভালো লাগেনি,0.0
সম্পুর্ন সস্তা একটা গল্প যে রচনা করছে তার মাথা মনে হচ্ছে পচে গেছে,0.0
ফালতু নাটক,0.0
আসলে মোশারফ করিম ব্যাক্তিগত জীবনে ছোট বেলায় অনেক ফাজিল ছিলো না হলে এই রকম ফাউল অভিনয় কিভাবে কি করে ,0.0
ফালতু নাটক,0.0
অাগেরগুলোর মত ভাল হয় নাই,0.0
সস্তা গল্প আর কতদিন ,0.0
ফালতু নাটক,0.0
আমার দেখা বাংলাদেশের সবচেয়ে বাজে ও ফালতু নাটকবাংলা নাটকের কাহিনী সংলাপের বড়ই অভাবমোশারফ করিমের থেকে এমন বাযে নাটক আশা করি নি প্রচন্ড হতাশ,0.0
লেবু বেশি চিপলে তেতো হয়ে যায় এক ধারা নাটক অফ করেন ,0.0
চরম পর্যায়ের ফালতু,0.0
এই ধরনের আবাল মারকা নাটক মোশারফ এর দারাই সম্বব পাগল চুদা,0.0
ফালতু নাটক  দূর ৩৪ মিনিট সময় নষ্ট,0.0
হা হা হা হা মজার নাটক,0.0
ফালতু নাটক বাল টাইমডাই নষ্ট,0.0
ফালতু নাটক,0.0
ফালতু নাটক,0.0
মোশাররফ করিম ভাইয়া দিন দিন এতো বাজে নাটক করে নিম্মমানের,0.0
খুব ই বাজে এমবি টুকুন ই নষ্ট,0.0
ফালতু গল্পবিরক্তিকর,0.0
বিরক্তিকর,0.0
ফালতু নাটক,0.0
এটা কোনো নাটকের কাহিনী হইছেফালতুশুধু শুধু সময় নষ্ট,0.0
ফালতু নাটক,0.0
ওতোটা ভালো হয় নি,0.0
এবারের দেখা সবচেয়ে বাজে নাটক,0.0
এইটা একটা নাটক হলো  অযথা সময় নষ্ট করা  ফালতু একটা নাটক,0.0
ফালতু নাটক,0.0
বুঝলাম না পরিচালক কি বলদ হয়ে গেলো নাকি এটা কোন কাহিনী হলোনাটক গুলোতে আর আগের মতো মজা পায় না,0.0
মোশারফ এখন একটা ফালতু,0.0
একজন পেশাদার জাত অভিনেতা এরকম ফালতু নাটকে অভিনয় করে নিজের অবস্থানকে নিচের দিকে নিয়ে যাচ্ছেএখন মোসাররফ করিম শুধু টাকার জন্য অভিনয় করে,0.0
এতটা ফালতু নাটক কেম্নে বানান,0.0
মোসারোফ করিমের নাটক বেকার হয় এই নাটক‌ টি‌ ছয় মিনিট তাও আবার টেনে টেনে দেখলাম,0.0
ফালতু নাটক আমাদের ঢাকার কাচকি বিরানি দেখলে মন ভরে যায়,0.0
এখানে যারা কমেন্ট করছে তারা হচ্ছেন পাগলের দল একটা কইরা দেখান,0.0
আজাইরা যতসব সস্তা কমেডি,0.0
সেই রকম ফালতু নাটক,0.0
মোশাররফ করিম ইদানিং হিজরা টাইপ নাটক করছে খুবই বাজে,0.0
কিছু বলার নেই,0.0
ফালতু নাটক,0.0
ক্যামেরা এত গুরে কেনকি যুগ আসলো রে ভাই,0.0
আমার টাকা থাকলে এই নাটকের কাহিনীকার পরিচালক  প্রযোজক  কলাকুশলি নিয়া নাটক বানাইতাম একেক ঈদে নাম দিতাম সেই রকম আচোদা সেই রকম বোকাচোদা সেই রকম আবুলচোদা সেই রকম ছাগলের বাচ্চাকাহিনীর এতই অভাব এই রকম বাল কাহিনী কই পায়,0.0
একবার ফালতু  নাটক,0.0
লজ্জা মোশাররফ করিম লজ্জা এত টাকার প্রয়োজন যে এত সস্তা মানের নাটক ও করা লাগেলজ্জা লজ্জা লজ্জা,0.0
আমার দেখা সবথেকে বাজে নাটক,0.0
নাটক টা একেবারে খুব খারাপ হইছে,0.0
অসম্ভব ফালতু নাটককেমনে এগুলো করেমোশারফের নাটক দিনে দিনে ফালতু হয়ে যাচ্ছে,0.0
বেশি বাড়াবাড়ি হয়ে গেছে,0.0
জঘন্য ফালতু নাটক ,0.0
মোশারফের আর আগের স্ট্যান্ডার্ড নাই পুরাই গুয়া মারা সারা ,0.0
ফালতু একটা নাটক,0.0
পুরান চিনে তারা মানে কে মাইনে আজব মানুষ এরা ফালতু,0.0
ফালতু নাটক হইছে,0.0
ফালতু নাটক,0.0
সিরিয়াসলি  মোশাররফ করিম এত্ত ফালতু নাটক করতে পারে  লাস্ট ২৩ বছরে তার কোনো ভাল নাটক দেখি নি    চাঁদের নিজের কোনো আলো নেই   এই নাটকটা দেখার পর মোশাররফ করিমের সেই রকম ফ্যান হয়ে গিয়েছিলাম  এই রকম নাটক কেনো করে না এখন  যতসব সস্তা কাহিনী নিয়ে নাটক বানাচ্ছে  বাংলাদেশ এর নাটকের ভবিষ্যৎ নষ্ট করছে  এখন মোশাররফ এর নাটক অনেক অনিচ্ছা সত্তেও দেখি কোনো পরিবর্তন আসছে কিনা দেখার জন্য নাহ  পরিবর্তন তো নেই ই উল্টা আরো বাজে করতেছে ,0.0
এই বছরের সবথেকে বাজে নাটক৷ এইটা,0.0
ফালতু মোশাররফ করিম নিজেই নিজেকে সস্তা বানিয়ে ফেলেছেন,0.0
ফালতু একটা নাটক এত বাজে নাটক আমি খুব কম দেখছি,0.0
এবারের এফিসোড একেবারে বাজে,0.0
এটা কোন নাটক হলো ফাইজলামির একটা সীমা থাকা উচিত এইসব নাটক দ্বারা জাতি কিছুই শিখতে পারবে না শুধুই আনন্দ তাও সঠিক না আনন্দ দেওয়ার মত একটি নাটক আমার মনে হয়নি এটি নাটক  হয়নি,0.0
এর চাইতে ফাউল খারাপ বাজে নাটক আর হয় না মোশারফ করিম একটা ফালতু নাটক গুলো ও ফালতু সব পাগল ছাগলের কাহিনী,0.0
