text,label
অসাধারণ নিশো বস্ আর অমি ভাইকেও,1.0
আমার দেখা বেস্ট নাটক,1.0
সত্যি অসাধারণ একটি রিলেশন,1.0
মজা পাইছি ভাষা গুলো কেমন লাগলো,1.0
খুব সুন্দর হয়েছে,1.0
অনেক হাসির একটা নাটক এবং রুমান্টিক,1.0
বিউটিফুল,1.0
ভাললোই লাগল,1.0
নাটক টা অনেক ভাল ছিল সত্যি কারের ভালবাসার প্রমাণ পেল,1.0
ভাইয়া তোমাদের আমার খুব ভালো লাগছে,1.0
ভালো ছিলো,1.0
গল্প টা খুব সুন্দর ছিল,1.0
অনেকদিন বাদে সুন্দর একটা নাটক দেখলাম,1.0
নাটক টা দেখলাম অসাধারন হইছে  নিশু ভাই ত আমার পছন্দের একটি অসাধারন মানুষ আর তিশা আমি তুমার চেহেরাটাই ভুলতে পারিনা জানিনা তুমি কার ভাগ্যে আছু আমার খুব পছন্দের একটি বাগানের গোলাপ নাম তার তানজিনা তিশা গোলাপের মতোই অপরুপ,1.0
শাহাব উদ্দিন শান্ত কুমিল্লা প্রবাসী এক কথায় অসাধারণ নাটক,1.0
শেষের গানটা খুব সুন্দর,1.0
টাংগাইল বাসীর গর্ব,1.0
ভালো  লাগছে অসাধারণ হয়েছে নিসো ভাই,1.0
অসাধারণ ভাইনিশো ভাই তোমার দ্বারাই এটা সম্ভব,1.0
ভালো লাগলো,1.0
খুব ভাল লাগলো,1.0
অসাধারণ অসাধারণ অপুরব,1.0
অসাধারণ অভিনয়  অসাধারণ নাটক  ভালো লাগার মতো একটি নাটক,1.0
অনেক সুন্দর লাগছে,1.0
এতো ভালো লাগলো বলে বোঝাতে পারবোনা বাট শুরুর দিকে অনেক হেসেছিতারপর কান্না ,1.0
সত্যি অসাধারণ গল্পের অসাধারণ একটি নাটক শেষ দৃশ্যে কোনোভাবেই চোখের পানি আটকাতে পারিনি তবে নাটকের সংলাপে তুই তোকারি করাটা হয়ত মেনে নেয়া যায় কিন্তু  কুত্তার বাচ্চা বলে গালি দেয়া এবং গায়ে হাত তোলাটা কোনোভাবেই মেনে নেয়া যায় না,1.0
অসাধারণ একটা নাটক,1.0
অনেক ভালো একটা নাটক ছিলোঅনেক ভালো লাগলো ধন্যবাদ পরিচালক সাহেব কেআরফান নিশো বস,1.0
চমৎকার নাটক,1.0
নিশু ভাই আপ্নের নাটক যত দেখি তত ভাল লাগে সালাম তমায়,1.0
